Resource Name,Min_NonZero_TPO_Price,Max_TPO_Price
GUADG_CC1_4,5.55,78.68
GUADG_CC2_1,7.02,25.78
GUADG_CC2_2,5.84,75.0
GUADG_CC2_4,4.97,76.19
HAYSEN_HAYSENG1,0.01,87.16
HAYSEN_HAYSENG2,0.01,86.93
HAYSEN_HAYSENG3,1.41,85.05
HAYSEN_HAYSENG4,0.01,91.03
HLSES_UNIT3,9.06,505.23
HLSES_UNIT4,1.0,4997.0
HLSES_UNIT5,0.28,4101.94
INGLCOSW_CC1_4,7.67,93.87
JACKCNTY_CC1_1,7.34,31.56
JACKCNTY_CC1_2,9.8,75.1
JACKCNTY_CC1_3,0.2,1067.1
JCKCNTY2_CC1_1,7.0,33.8
JCKCNTY2_CC1_2,7.0,25.8
JCKCNTY2_CC1_3,1.5,1067.05
KMCHI_CC1_1,5.0,39.77
KMCHI_CC1_2,0.01,20.02
KMCHI_CC2_1,5.0,39.77
KMCHI_CC2_2,0.01,20.61
KMCHI_CC2_8,9.53,135.3
KMCHI_CC2_9,9.87,146.81
LARDVFTN_G4,6.6,5000.0
LARDVFTN_G5,7.38,5000.0
LEON_CRK_LCPCT1,9.41,79.94
LEON_CRK_LCPCT2,9.4,80.87
LEON_CRK_LCPCT3,9.4,76.69
LEON_CRK_LCPCT4,9.53,79.57
LGE_CC1_1,10.55,82.08
LGE_CC1_2,6.65,111.28
LGE_CC1_3,10.93,83.11
LGE_CC1_4,9.97,92.09
LHM_CVC_G4,2.99,75.0
LHSES_UNIT1,1.09,236.49
LHSES_UNIT2A,0.01,189.18
LIG_UNIT1,7.78,86.74
LIG_UNIT2,7.78,86.74
LOSTPI_CC1_1,5.19,31.98
LOSTPI_CC1_2,5.41,34.56
LPCCS_CC1_1,2.7,52.6
LPCCS_CC1_2,2.48,73.53
LPCCS_CC1_3,3.12,52.24
LPCCS_CC1_4,0.01,120.13
LPCCS_CC2_1,2.7,51.69
LPCCS_CC2_2,1.28,73.53
LPCCS_CC2_3,3.12,51.78
LPCCS_CC2_4,0.01,120.13
